Provincia,Nombre Provincia,Cantón,Nombre Cantón,Distrito,Nombre Distrito,Barrio,Nombre Barrio
1,San José,1,San José,1,CARMEN,1,Amón
1,San José,1,San José,1,CARMEN,2,Aranjuez
1,San José,1,San José,1,CARMEN,3,California (parte)
1,San José,1,San José,1,CARMEN,4,Carmen
1,San José,1,San José,1,CARMEN,5,Empalme
1,San José,1,San José,1,CARMEN,6,Escalante
1,San José,1,San José,1,CARMEN,7,Otoya.
1,San José,1,San José,2,MERCED,1,Bajos de la Unión
1,San José,1,San José,2,MERCED,2,Claret
1,San José,1,San José,2,MERCED,3,Cocacola
1,San José,1,San José,2,MERCED,4,Iglesias Flores
1,San José,1,San José,2,MERCED,5,Mantica
1,San José,1,San José,2,MERCED,6,México
1,San José,1,San José,2,MERCED,7,Paso de la Vaca
1,San José,1,San José,2,MERCED,8,Pitahaya.
1,San José,1,San José,3,HOSPITAL,1,Almendares
1,San José,1,San José,3,HOSPITAL,2,Ángeles
1,San José,1,San José,3,HOSPITAL,3,Bolívar
1,San José,1,San José,3,HOSPITAL,4,Carit
1,San José,1,San José,3,HOSPITAL,5,Colón (parte)
1,San José,1,San José,3,HOSPITAL,6,Corazón de Jesús
1,San José,1,San José,3,HOSPITAL,7,Cristo Rey
1,San José,1,San José,3,HOSPITAL,8,Cuba
1,San José,1,San José,3,HOSPITAL,9,Dolorosa (parte)
1,San José,1,San José,3,HOSPITAL,10,Merced
1,San José,1,San José,3,HOSPITAL,11,Pacífico (parte)
1,San José,1,San José,3,HOSPITAL,12,Pinos
1,San José,1,San José,3,HOSPITAL,13,Salubridad
1,San José,1,San José,3,HOSPITAL,14,San Bosco
1,San José,1,San José,3,HOSPITAL,15,San Francisco
1,San José,1,San José,3,HOSPITAL,16,Santa Lucía
1,San José,1,San José,3,HOSPITAL,17,Silos.
1,San José,1,San José,4,CATEDRAL,1,Bellavista
1,San José,1,San José,4,CATEDRAL,2,California (parte)
1,San José,1,San José,4,CATEDRAL,3,Carlos María Jiménez
1,San José,1,San José,4,CATEDRAL,4,Dolorosa (parte)
1,San José,1,San José,4,CATEDRAL,5,Dos Pinos
